,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
Adamts4,0.009175884,-0.010202768,0.026213823,0.010260193,0.057528,0.05421514,0.11249281,0.14263664,-0.059357874,-0.009418309,0.042767096,0.03438234,0.0032588874,-0.04695743,0.013528719,0.045439478,0.039328873,0.022462303,-0.035035517,-0.0019442803,0.004017259,-0.0037091975,-0.011772127,-0.00033229624,0.03258147,-0.006154094,0.015053383,-0.0070310016,-0.021211429,0.0074063092,0.0003610141,0.01819151,-0.011136932,0.0015387384,0.01636872,0.006303018,-0.047273174,0.00073224865,0.014155988,-0.01135271,0.02748181,-0.038597573,0.0140675455,-0.024889544,0.024773203,0.024847697,0.041381422,-0.04369121,-0.035079528,-0.019785833
Adamts5,0.00013254932,-0.0059663686,-0.0038245844,0.0022778867,0.009518814,0.00530137,0.010552537,0.0037516353,-0.006243483,-0.0008724288,-0.0030364282,0.00081218366,0.0019099292,-0.0034903777,0.005903939,-0.0014223469,0.00091146433,0.0048784018,0.0030557667,-0.0026126027,-0.005072657,-0.0069088945,-0.004878453,-0.006343018,-0.007232158,-0.008431425,-0.01295302,-0.0040461174,0.002060685,-0.002550965,-0.0006738448,-0.0033895078,-0.0013116222,-0.012789822,0.009804854,-0.0061067585,-0.009060273,0.0003629824,0.008442772,0.002568041,-0.004249051,-0.0010412498,0.0040123463,0.003669124,-0.0148096755,-0.0011761403,0.0083442945,0.007722192,0.0112117585,0.0013678658
Adcy2,-0.017090831,-0.019091047,0.0014920469,0.0015127438,0.087476514,0.033820815,-0.050415613,0.013232554,0.047662374,0.0616686,0.022953285,0.018348549,0.019456312,0.037352625,-0.024111632,0.016458234,-0.0064280187,0.018077737,-0.00092255883,0.0128078265,0.0387858,-0.022002148,0.0031328343,0.061061904,-0.014518798,-0.046643928,0.007848519,-0.021067405,-0.017060144,-0.003017067,-0.029053908,-0.0019381146,0.02842997,0.012747119,0.013832195,-0.026281487,0.020484589,0.027206726,-0.046090208,0.0072143376,0.00049206614,0.0100379735,0.00507487,-0.02518896,-0.036135115,0.010636188,-0.002148481,0.019939419,-0.066975065,0.006445987
Adgrf5,0.026611622,0.002289243,-0.008306829,0.035164118,0.026123464,-0.038111005,-0.001273326,-0.0057975743,-0.026179984,-0.014976937,-0.0025237638,0.010829374,-0.027913144,-0.0014017706,0.007095472,-0.029012974,-0.010058794,-0.0009216393,-0.003010643,0.05462331,-0.016263992,-0.024432693,-0.028072052,0.03705182,0.01915715,-0.01276817,0.014907653,-0.014843009,0.01206685,0.051235452,-0.025111062,-0.00493412,0.03146255,-0.009951127,-0.034169156,0.002158022,0.025532154,0.041152883,0.019641502,-0.026474198,0.027974445,-0.01129009,0.038873017,0.0077173593,-0.0067682043,0.030077387,-0.050559245,0.003031874,-0.042214654,0.013218328
Ak4,-0.0077867066,-0.013176112,0.010887358,0.013651635,0.0034501,0.017138176,-0.012473504,0.0034062536,0.0060276925,0.0009416168,0.012950286,-0.0022730047,-0.008983148,0.0025553824,-0.0070844577,-0.0032971457,-0.0063007902,-0.018607115,0.014356118,0.011259727,0.0012398721,-0.006358206,0.00904949,0.017475054,-0.0073144557,0.006539047,0.02127905,0.001912542,-0.011642544,-0.004450567,-0.0039607277,0.0075026155,0.0026540572,0.0030309067,0.016783148,-0.0065516606,-0.0031521185,-0.0030156616,0.031929083,0.005008355,0.01223819,0.025092902,-0.007554773,-0.006106613,0.004590704,0.013164611,-0.015302027,-0.012538649,0.0151856085,-0.013383102
Akap13,0.029379938,-0.15088794,-0.09662334,-0.006019829,0.03920623,-0.18477303,0.1751353,-0.06753439,-0.05318557,0.015639972,-0.16159761,-0.052200787,0.105736166,-0.1505924,0.05624696,-0.012077308,-0.20133829,0.087458685,-0.002313022,0.0810062,-0.016830478,0.01712925,0.09875679,-0.025886988,-0.048540104,0.02198949,-0.056792703,0.00022952998,0.15149277,0.15919748,0.09590156,-0.016103346,0.09572548,-0.024116429,-0.059118126,-0.1975458,-0.011485606,0.05967447,0.027102273,0.155609,-0.012601642,-0.009191915,-0.13123554,0.027977794,-0.1370571,-0.086112976,0.07376851,-0.06791178,-0.08228501,-0.1540625
Alk,0.027778516,-0.036644764,-0.03874539,-0.037332673,-0.060069192,0.027567975,0.05625121,0.060048584,0.14607684,0.15418026,-0.005681823,-0.04354155,0.10778986,-0.01024368,0.043345205,-0.022080323,0.0404214,0.035531186,0.014612521,0.0527299,-0.09910138,0.0649529,-0.006006509,-0.05864279,-0.056512937,0.07419467,0.01874824,-0.020068862,0.013381434,-0.049223088,0.042863324,0.08141071,0.06546426,0.06741976,-0.15137696,0.03780701,-0.0125654675,0.04688684,0.09516066,-0.02108059,-0.14694735,-0.08378241,0.023757894,0.05597275,0.040179126,-0.06248153,0.10414172,0.02791113,0.0026103444,-0.05213211
Ank1,-0.025638456,-0.13213043,0.05154371,-0.13163051,0.061064433,-0.05331157,0.047630113,-0.054558903,0.13103326,-0.004672211,0.03373488,-0.10798354,-0.064972185,-0.18561675,0.14156792,-0.07011471,0.074186146,0.024056965,-0.11877884,0.0025593666,0.16205564,0.20006917,-0.07972819,0.19086127,0.02797639,0.063580096,-0.26257586,-0.06582978,-0.05294918,-0.0019345309,0.13617365,-0.07103531,-0.008555035,0.041550208,-0.13207789,-0.010103572,-0.26963776,0.19695182,-0.008424982,-0.033045348,-0.08284976,0.06623556,0.03358326,-0.073671326,0.018017147,0.12684242,-0.16096391,0.09343353,0.06550926,-0.17871246
Ankrd6,-0.07970031,-0.15949796,0.044760417,-0.08263314,-0.07142805,0.19061978,0.08664873,-0.05060024,0.12936567,0.12326865,-0.08594412,0.019034335,-0.28485608,-0.0118790595,0.19358261,0.13102667,-0.004032431,0.23429161,-0.07577157,-0.1515802,0.18084022,-0.07313648,0.09969603,0.059529692,0.1521262,-0.101143464,0.07112065,0.15996097,0.042439714,0.059578132,-0.10103256,0.057644367,-0.1409115,-0.1347607,0.27042976,0.06686956,-0.14755456,0.1475338,0.078015104,0.032031424,0.16044556,0.0056360364,-0.16643728,-0.029752746,-0.02257143,0.0006590858,0.007957116,0.0115953125,-0.033647835,0.035449855
Ano3,0.00035931033,-0.0032343627,0.0040453994,0.0015012391,0.003323851,0.007352484,0.00049398956,-0.0011950731,0.006968924,-4.4793698e-05,8.498585e-05,-0.003702025,0.00019734834,0.007407387,0.0022447275,0.00035787246,0.0036690915,-0.00042682304,0.0052574156,-0.0009971377,-0.001858132,0.0048163575,-0.0034389633,-0.0017646243,-0.008827668,-0.0044379816,0.0050552795,0.0042169304,0.0014524094,0.0010521373,0.0011534448,0.0017725226,0.0030984073,-0.003026054,0.005491895,-0.0010051522,0.0038496568,-0.0067820167,-0.0012027253,0.0053816745,0.0008301411,0.00303983,0.0034982315,0.01099919,0.000966521,0.002095935,0.002134047,-0.014336377,-0.0027322916,-0.0028039732
Aqp4,0.020783972,-0.025699463,0.052642915,-0.0077357977,0.022946347,-0.0053728474,-0.009075128,0.020897392,0.016506094,-0.029424146,-0.096188225,-0.04487738,-0.047739033,0.023755059,-0.014106818,-0.029273558,-0.014198707,-0.006362254,-0.06482183,0.006241958,-0.032897826,0.04041554,0.029431753,-0.0060530407,0.010428334,-0.009206644,0.0035420551,0.039623037,-0.02734744,-0.0021200592,-0.034476787,-0.039911088,0.022591272,0.09322471,-0.08922567,0.0053439788,0.10868396,0.075119965,-0.0440673,-0.026567563,0.0213778,0.03351105,-0.034851886,-0.040844463,0.037379414,-0.014627747,-0.015715828,0.01910527,0.054020174,-0.050924186
Arhgap24,0.008817201,-0.06669941,-0.006499935,-0.05058775,0.0024565423,0.0060689463,0.0050289254,0.0022789333,0.0068987207,0.011304013,-0.04107864,-0.021566434,0.031519357,0.009710715,-0.0007371907,-0.06154937,-0.0061190245,0.13865127,-0.019417595,0.013948872,-0.023102082,0.015125316,0.007988796,0.03003276,-0.058361426,-0.029178204,-0.00044618358,0.04815993,0.0037675356,-0.0697438,-0.086338714,0.055677127,-0.05551132,-0.023511866,-0.01813275,0.00305985,0.011905569,0.0032778457,-0.074470505,0.029519424,-0.046992037,0.034463327,0.0726909,0.014082042,0.06658745,-0.051125094,0.0053874515,-0.0023177075,-0.035669133,-0.010692412
Arhgap25,0.0010179557,-0.010974224,0.0077220392,-0.0029356864,-0.004698935,0.0072574695,0.0025948766,0.0028140761,0.0064040343,-0.013093807,-0.013780318,0.007297277,0.003816571,-0.009057171,0.010120208,-0.011939628,-0.016016806,0.006073584,0.002237799,0.007436077,-0.0006421321,-0.011795737,-0.010569151,0.008531119,-0.009161582,0.0026046976,0.004322275,0.0006962194,0.0030951279,-0.0074312654,0.006457786,0.0113639105,-0.003519982,-0.0043811817,-0.006868033,0.015236834,-0.004296934,0.0053116437,-0.009029706,-0.00821524,0.011379619,-0.008797962,0.011142892,0.0019472361,-0.009162419,0.0031488952,-0.0061005233,0.011345214,-0.00836443,0.009058477
Arhgap36,-0.00036064937,-0.0039010497,0.0047254753,0.0018279542,0.002188767,-0.00085169205,0.0028777805,-0.0013212728,-0.00021971502,0.0007568684,0.0016793781,0.0030586056,-0.0025183123,-0.0054114573,-0.0022415067,-0.00031530618,0.0027864438,0.0067898924,-0.0027263856,-0.007845006,0.0025999548,-0.0028673795,0.0016824577,-0.0014772565,0.00022923057,0.0029934712,-0.006327399,0.004153417,0.006662092,-0.00037464887,-0.008559711,-0.0010780349,0.0024208846,-0.008057209,0.003245434,-0.0033723186,-0.0010099679,0.0014683476,0.004807422,-0.0056570694,-0.0054977085,0.0010640544,-0.0028697455,-0.005928684,-0.0013337771,-0.0051784804,0.0021418724,0.00046430668,0.00267079,0.009382877
Arhgef19,0.00519421,-0.0025058254,0.018541474,0.0062280237,0.03285842,0.02194199,0.017496375,0.04078556,-0.022343075,-0.01249038,-0.05205459,-0.0008593033,-0.01994918,0.01726953,-0.0045809695,0.004086177,-0.0045948075,-0.0036346228,0.012818202,-0.006724488,0.00430439,0.007948469,0.007854338,0.0012682766,-0.035855334,0.0019070128,0.0023221474,-0.0074815853,-0.021413876,0.004057659,0.03051753,0.0053097643,-0.02021021,0.010577295,-0.008884792,-0.009102777,0.0008837003,-0.019732177,0.008851403,-0.014689792,-0.016085867,0.031302836,0.027858656,-0.029303117,0.007888352,-0.029570162,0.0144439,0.029432297,-0.009614391,0.021090731
Arx,0.0014007455,-0.013949888,0.020419262,-0.016356777,0.0021073767,-0.007961482,0.008919073,-0.003592782,0.010072898,-0.0048194956,-0.004873123,0.0019992269,0.02118647,-0.013309777,-0.011684796,-0.00940294,-0.006017716,0.011453695,0.007529062,0.011742915,-0.010024895,-0.011594791,-0.00045960138,0.0048171408,0.010359193,-0.009617073,-0.00032660982,-0.0068993284,-0.0051977923,0.010320403,0.0016267543,0.0021419646,0.007948407,0.0039683534,-0.025853945,0.007353776,0.011986553,-0.004989368,-0.0045164,-0.0043436717,-6.627524e-05,-0.003447921,0.0035791092,0.01791748,0.013786547,-0.014923268,0.001372736,-0.002060838,-0.010542938,0.008072185
Asb4,0.01729019,-0.0075984015,-0.004084513,-0.0044216923,0.015222654,-0.008718642,-0.0073300293,0.0039097215,-0.0044207405,-0.0034196123,0.0035469846,-0.004197856,0.005995069,0.0021348684,0.0125601385,-0.020523956,0.013005036,0.0038218435,0.0034961107,0.012670324,-0.009759757,0.010042902,-0.006874797,0.010517367,2.6769128e-05,-0.014413998,0.01465674,0.00605538,0.0033834379,-0.0021741893,0.0025910602,-0.0058827256,-0.032942988,3.1659045e-05,0.007907654,-0.001291188,-0.011840656,0.0034099096,-0.0035291621,0.0038571157,-0.0017388818,-0.0041454793,-0.010684658,-0.005436397,-0.005219035,-0.00045235362,0.0019367984,-0.01115047,-4.040869e-05,0.014960683
Asic4,0.008646241,-0.0044987616,0.010803352,-0.006066072,0.009686762,-0.005670577,0.018073238,-0.0027449268,0.010948101,0.0031857202,0.0019968203,-0.010615664,-0.022003165,-0.0031974174,0.011506784,-0.008589822,0.012071519,0.0052882065,0.016079452,-0.0028493921,0.0094711725,-0.007725705,0.019706264,0.0019199271,-0.01666577,-0.015896944,0.0021622602,-0.0019063696,0.013095045,0.02220529,-0.011268705,0.010933436,-0.006725743,-0.009190233,-0.010019024,-0.008476643,-0.009340292,0.0020116698,-0.009427007,-0.005867712,-0.018690377,-0.014855387,-0.015172678,-0.004250861,-0.012852545,-0.03916309,-0.0018808525,-0.016596802,0.003323344,0.016279146
Atp1b2,0.06194396,-0.086221464,-0.053666294,0.05761674,-0.07532156,-0.011970211,-0.14723858,0.107527,-0.054442856,0.0026817364,-0.11024344,0.017462194,-0.017485345,0.041181676,0.022660341,0.037861504,0.115507655,-0.014782444,0.06400673,-0.08244657,0.01691087,-0.009370249,0.08922053,0.043804962,-0.009322985,0.05715349,-0.023290148,-0.039393168,-0.023024835,0.0690211,0.094972804,-0.032863144,0.021785088,0.025351666,0.038343277,0.028342795,0.021718973,-0.016607642,-0.09435859,0.0025217533,0.023710158,0.0109540485,-0.06104847,-0.016913325,0.058685914,-0.099395886,-0.14885433,-0.005142864,-0.07486752,0.03712615
Atp6ap1l,0.0028815342,-0.00041353586,-0.007656975,0.003693547,0.00218632,-0.00191214,-0.0028853049,0.00022487766,-0.00226098,-0.004857221,-0.0018717905,-0.004420472,0.0057561356,0.0036252434,0.0015055923,-0.00083440676,-0.0029019485,-0.007135977,-0.0027316872,0.008753982,-0.0052835797,0.00057012786,0.0022076436,-0.0068451916,-0.0008300391,-0.012010515,0.0019631768,0.0021296674,-0.0025639224,0.0077921576,-0.00032184692,0.0026924992,0.013396344,0.012375161,-0.0037858181,-0.009185223,0.012776433,-0.002639696,0.01449925,0.013398825,0.0005235062,-0.0028306763,0.008469515,5.5669807e-05,-0.0066014733,0.0060384935,0.0026796127,-0.018201107,0.0086065475,-0.010384232
